CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg16101574,chr7:7291514,7,7291514,-,Open sea,0.0012,0.00023,7.5e-08,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16553589,chr5:122766566,5,122766566,-,Open sea,-0.0022,0.00042,1.8e-07,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,-0.0027,0.00034,2.4e-15,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16874583,chr12:7781004,12,7781004,-,Island,-0.0016,0.00024,3.3e-11,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16910670,chr11:71215361,11,71215361,-,Open sea,-0.00058,8.8e-05,4.1e-11,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg17240725,chr7:73149356,7,73149356,WBSCR26,North shelf,-0.0014,0.00019,2.1e-13,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg17361163,chr7:101006019,7,101006019,EMID2,Island,0.0042,0.00016,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg17429772,chr7:158269409,7,158269409,PTPRN2,Open sea,0.0015,0.00035,2.5e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,0.0022,0.00023,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg18595228,chr15:67193261,15,67193261,-,Open sea,-0.00066,0.00016,3.1e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg20188212,chr12:313104,12,313104,SLC6A12,Island,-0.0015,2e-04,6.1e-13,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg20910361,chr4:141877033,4,141877033,RNF150,Open sea,-0.0025,0.00042,2e-09,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg22939563,chr7:157162115,7,157162115,DNAJB6,Open sea,-0.0029,0.00035,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,-0.0028,3e-04,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25290307,chr7:101005910,7,101005910,EMID2,Island,0.0045,0.00021,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25857471,chr6:30910113,6,30910113,DPCR1,Open sea,-0.0016,2e-04,1.8e-14,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,0.0022,0.00025,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,-0.00037,8.4e-05,1e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26655517,chr19:54518382,19,54518382,-,South shelf,0.0016,0.00027,9.9e-09,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg27031099,chr8:126620534,8,126620534,-,Open sea,-0.0029,0.00025,0,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01049884,chr8:48418189,8,48418189,KIAA0146,Open sea,0.0013,NA,6.2e-17,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01334824,chr15:27787650,15,27787650,-,South shore,0.0014,NA,2.9e-16,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg02255242,chr15:33420912,15,33420912,-,Open sea,0.0019,NA,3.1e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg03039387,chr6:31364895,6,31364895,-,North shelf,0.0011,NA,1.8e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg05554000,chr7:158905015,7,158905015,VIPR2,North shore,0.0032,NA,6.5e-22,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg06604206,chr5:167912465,5,167912465,RARS,North shore,0.0018,NA,2.8e-08,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,0.002,NA,1.2e-58,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,0.0019,NA,9.2e-07,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09756125,chr7:158250978,7,158250978,PTPRN2,South shore,0.0028,NA,2.5e-17,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg10578777,chr12:7781093,12,7781093,-,Island,0.0024,NA,2.9e-18,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,0.0014,NA,4.1e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13598480,chr20:3145356,20,3145356,ProSAPiP1,Island,0.002,NA,8.8e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg14906510,chr12:7781169,12,7781169,-,Island,0.002,NA,3.6e-09,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,0.0015,NA,8.3e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15587955,chr8:19026658,8,19026658,-,Open sea,0.002,NA,2e-37,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16101574,chr7:7291514,7,7291514,-,Open sea,0.002,NA,1e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16553589,chr5:122766566,5,122766566,-,Open sea,0.003,NA,2.4e-07,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16680214,chr1:154839983,1,154839983,KCNN3,Open sea,0.0034,NA,7.2e-28,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,0.0046,NA,2.3e-22,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16874583,chr12:7781004,12,7781004,-,Island,0.0028,NA,2.4e-16,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg17361163,chr7:101006019,7,101006019,EMID2,Island,0.0018,NA,2.4e-31,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg21897367,chr7:142759657,7,142759657,OR6W1P,Open sea,0.00086,NA,4.6e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,0.00093,NA,7.5e-20,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg23102195,chr5:28927606,5,28927606,-,Island,0.0022,NA,1.9e-06,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25290307,chr7:101005910,7,101005910,EMID2,Island,0.0029,NA,5.7e-44,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25828445,chr12:7781288,12,7781288,-,South shore,0.0016,NA,2.4e-05,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg25857471,chr6:30910113,6,30910113,DPCR1,Open sea,0.0025,NA,1.8e-28,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,0.0028,NA,5.4e-13,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg27031099,chr8:126620534,8,126620534,-,Open sea,0.0023,NA,5e-18,NA,33450751_Mulder-RH_age_model_1_with_age_as_a_random_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 1 with age as a random effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,-0.014,0.0014,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg03526776,chr6:41159608,6,41159608,TREML2,Open sea,-0.0063,0.0011,2.1e-09,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,-0.0045,0.00079,1.6e-08,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg05406088,chr15:66947617,15,66947617,-,South shore,-0.0063,0.0014,1.1e-05,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.0096,0.0013,2.5e-14,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg12580445,chr5:121414634,5,121414634,LOX,South shore,0.0093,0.0018,1.8e-07,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,-0.0051,0.0012,1.1e-05,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg13598480,chr20:3145356,20,3145356,ProSAPiP1,Island,-0.0081,0.0016,7.4e-07,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,-0.0092,0.0012,1.1e-15,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,0.023,0.0018,0,NA,33450751_Mulder-RH_age_model_2_at_6y_with_age_as_a_fixed_effect,Mulder RH,"ALSPAC,Generation R",33450751,2021-01-25,age,EFO_0000246,Model 2 at 6y with age as a fixed effect,http://epidelta.mrcieu.ac.uk/,DNA methylation,age,"sex,gestational age,cohort,cell composition (reference based),batch effects",Beta Values,years,Illumina HumanMethylation450,Whole blood,NA,2338,2,Children,Both,European
